id,keywords
862,"['jealousy', 'toy', 'boy']"
8844,"['board game', 'disappearance', ""based on children's book""]"
15602,"['fishing', 'best friend', 'duringcreditsstinger']"
31357,"['based on novel', 'interracial relationship', 'single mother']"
11862,"['baby', 'midlife crisis', 'confidence']"
949,"['robbery', 'detective', 'bank']"
11860,"['paris', 'brother brother relationship', 'chauffeur']"
45325,[]
9091,"['terrorist', 'hostage', 'explosive']"
710,"['cuba', 'falsely accused', 'secret identity']"
9087,"['white house', 'usa president', 'new love']"
12110,"['dracula', 'spoof']"
21032,"['wolf', 'dog-sledding race', 'alaska']"
10858,"['usa president', 'presidential election', 'watergate scandal']"
1408,"['exotic island', 'treasure', 'map']"
524,"['poker', 'drug abuse', '1970s']"
4584,"['bowling', 'based on novel', 'servant']"
5,"['hotel', ""new year's eve"", 'witch']"
9273,"['africa', 'indigenous', 'human animal relationship']"
11517,"['brother brother relationship', 'subway', 'new york city']"
8012,"['gambling', 'miami', 'based on novel']"
1710,"['police brutality', 'psychology', 'police operation']"
9691,"['competition', 'assassination', 'cia']"
12665,"['dead animal', 'shot to death', 'teenage boy']"
451,"['individual', 'prostitute', 'alcohol']"
16420,"['shakespeare', 'jealousy', 'friends']"
9263,"['1970s', 'female friendship', 'coming of age']"
17015,"['captain', 'napoleonic wars', 'old flame']"
902,"['clone', 'dream', 'island']"
37557,"['servant', 'cabaret', 'shanghai']"
9909,"['rap music', 'karate', 'high school']"
63,"['schizophrenia', 'philadelphia', 'cassandra syndrom']"
78802,[]
9598,"['sheep', 'pig', 'affection']"
47018,"['england', 'painter', 'conscientious objector']"
687,"['prison', 'rape', 'socially deprived family']"
139405,[]
33689,"['orphan', 'identical twin']"
9603,"['puberty', 'high school', 'make a match']"
34615,['south africa']
31174,"['england', 'shakespeare', 'kidnapping']"
11443,"['money', 'loss of virginity', 'hiding in a dumpster']"
35196,"['jealousy', 'medicine', 'fountain']"
9312,"['martial arts', 'monster', 'island']"
577,"['adultery', 'winter', 'obsession']"
11861,"['wedding vows', 'marriage proposal', 'married couple']"
807,"['self-fulfilling prophecy', 'detective', 's.w.a.t.']"
10530,"['culture clash', 'settler', 'forbidden love']"
8391,"['professor', 'lgbt', 'woman director']"
629,"['law', 'relatives', 'theft']"
117164,[]
11448,"['prostitute', 'adoption', 'adoptive father']"
49133,['independent film']
26441,"['sport', 'kids and family', 'soccer']"
97406,"['alcohol', 'artist', 'music']"
124057,[]
9089,"['baltimore', 'thanksgiving', 'family clan']"
11010,"['island', 'letter', 'postman']"
99040,[]
11359,"['cupboard', 'games', 'puppet']"
17182,"['rape', 'gun', 'self-defense']"
2054,"['composer', 'mentor', 'deaf-mute']"
10607,"['date', 'slang', 'hip-hop']"
19760,"['island', 'painting', 'thief']"
9536,"['biotope', 'vegetarian', 'pollution']"
11525,"['hacker', 'virtual reality', 'computer']"
40628,[]
4482,"['love triangle', 'southern france', 'estate agent']"
10634,"['rap music', 'parent child relationship', 'rapper']"
755,"['dancing', 'brother brother relationship', 'sexual obsession']"
11859,"['bomb', 'miami', 'sex']"
28387,['college']
48750,"['paris', 'nun', 'boxer']"
20927,"['florist', 'family relationships']"
36929,['bully']
9102,"['man vs machine', 'alien planet', 'struggle for survival']"
124626,[]
27526,"['loss of daughter', 'hit-and-run driving ', 'revenge']"
9623,"['jurors', 'blackmail', 'court case']"
46785,"['fish', 'money', 'celebration']"
400,"['father son relationship', 'bounty hunter', 'boat']"
880,"['suicide', 'underdog', 'free love']"
146599,"['racial segregation', 'family relationships', 'rural setting']"
188588,[]
8447,"['class society', 'rich woman - poor man', 'scientist']"
10534,"['sailing trip', 'diary', 'sailing']"
17414,"['boss', 'fistfight', 'bully']"
13997,"['nitrous oxide', 'candid camera', 'double act']"
2086,"['assassination', 'train station', 'politics']"
61548,[]
9095,"['servant', 'monster', 'laboratory']"
12158,"['vampire', 'half vampire']"
9283,['hometown']
9208,"['helicopter', 'river', 'captain']"
40154,"['play', 'hamlet', 'christmas']"
406,"['paris', 'neo-nazi', 'skinhead']"
45549,[]
63076,"['narration', 'hollywood', 'prostitution']"
11062,"['corruption', 'undercover', 'war on drugs']"
13685,"['brother brother relationship', 'robbery', 'burglar']"
47475,[]
2045,"['wife husband relationship', 'experiment', 'police']"
9614,"['loss of mother', 'loss of father', 'golf']"
688,"['farewell', 'adultery', 'love at first sight']"
11907,"['prophecy', 'voodoo', 'single']"
10874,"['island', 'pirate gang', 'puppet']"
89333,[]
96357,['ex-con']
197,"['individual', 'scotland', 'in love with enemy']"
103,"['vietnam veteran', 'taxi', 'obsession']"
33542,"['new york', 'martial arts', 'supermarket']"
43566,[]
71754,"['mining', 'dance lesson', 'coal mining']"
43612,"['best friend', 'twins', 'country']"
51352,"['fascism', 'auschwitz', 'typhus']"
16934,"['london england', 'poison', 'based on true story']"
10324,"['roommate', 'single', 'love']"
78406,"['brother brother relationship', 'twin brother', 'lawyer']"
55731,"['hawaii', 'australia', 'teacher']"
32119,[]
11066,"['role of women', 'ladykiller', 'success']"
11104,"['ex-girlfriend', 'drug smuggle', 'girlfriend']"
37975,[]
2074,"['lsd', 'looking for  birth parents', 'half-brother']"
27793,"['flying', 'magic']"
44284,['woman director']
290157,[]
110972,[]
32622,"['independent film', 'woman director']"
73067,"['boy', 'writer', 'ireland']"
11863,"['callgirl', 'san francisco', 'investigation']"
55475,"['new york', 'emigration', 'dominican republic']"
124636,[]
9101,"['submarine', 'u.s. navy', 'misfit']"
123360,['biography']
5757,"['homosexuality', 'independent film', 'mockumentary']"
39428,"['southern usa', 'based on novel', 'singer']"
124639,[]
9302,"['skab under tv', 'foran', 'nederste hylde']"
11000,"['gay', 'drag queen', 'homophobia']"
249882,"['mountain', 'miracle', 'apparition']"
16388,"['love', 'independent film', 'best friend']"
9737,"['miami', 'detective', 'handcuffs']"
30765,"['china', 'panda', 'poacher']"
10474,"['sport', 'basketball', 'addiction']"
22279,"['england', 'based on novel', 'liverpool']"
30157,['independent film']
568,"['moon', 'florida', 'nasa']"
11780,"['scotland', 'biography', '18th century']"
34996,"['new york', 'philosophy', 'vampire']"
414,"['riddle', 'dc comics', 'rose']"
649,"['prostitute', 'adultery', 'double life']"
1873,"['burma', 'rangoon', 'doctor']"
5894,"['smoking', 'corner shop', 'cigarette']"
1775,[]
8839,"['halloween', 'friendship', 'supernatural']"
20649,"['drug pusher', 'train', 'drug']"
10329,"['gorilla', 'kongo', 'diamond mine']"
8963,"['submarine', 'mutiny', 'russia']"
26564,"['underground', 'biography', 'art']"
8068,"['gunslinger', 'anti terror', 'ambush']"
8512,"['jazz club', 'murder', 'los angeles']"
1572,"['bomb', 'taxi', 'riddle']"
13552,"['sex', 'eroticism', 'nudity']"
259209,[]
6520,"['camelot', 'knight', 'king arthur']"
9073,"['human animal relationship', 'whale', 'killer whale']"
