id,company
862,['Pixar Animation Studios']
8844,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']"
15602,"['Warner Bros.', 'Lancaster Gate']"
31357,['Twentieth Century Fox Film Corporation']
11862,"['Sandollar Productions', 'Touchstone Pictures']"
949,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']"
11860,"['Paramount Pictures', 'Scott Rudin Productions', 'Mirage Enterprises']"
45325,['Walt Disney Pictures']
9091,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']"
710,"['United Artists', 'Eon Productions']"
9087,"['Columbia Pictures', 'Castle Rock Entertainment']"
12110,"['Columbia Pictures', 'Castle Rock Entertainment', 'Enigma Pictures']"
21032,"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']"
10858,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']"
1408,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)']"
524,"['Universal Pictures', 'Légende Entreprises', 'Syalis DA']"
4584,"['Columbia Pictures Corporation', 'Mirage Enterprises']"
5,"['Miramax Films', 'A Band Apart']"
9273,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']"
11517,['Columbia Pictures']
8012,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']"
1710,"['Regency Enterprises', 'New Regency Pictures']"
9691,"['Silver Pictures', 'Canal+', 'Warner Bros.']"
12665,"['Caravan Pictures', 'Hollywood Pictures']"
451,"['United Artists', 'Intial Productions']"
16420,"['Columbia Pictures', 'Castle Rock Entertainment']"
9263,['New Line Cinema']
17015,['BBC Films']
902,"['Procirep', 'Constellation Productions', 'France 3 Cinéma']"
37557,"['Ministère des Affaires Étrangères', 'Alpha Films', 'La Sept Cinéma']"
9909,"['Hollywood Pictures', 'Via Rosa Productions', 'Don Simpson/Jerry Bruckheimer Films']"
63,"['Universal Pictures', 'Atlas Entertainment', 'Classico']"
78802,['Iwerks Entertainment']
9598,"['Universal Pictures', 'Kennedy Miller Productions']"
47018,"['StudioCanal', 'Cinéa', 'Euston Films']"
687,"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']"
139405,['Sony New Technologies']
33689,"['Dualstar Productions', 'Warner Bros.', 'Rysher Entertainment']"
9603,['Paramount Pictures']
34615,"['Miramax', 'Distant Horizon', 'Alpine Pty Limited']"
31174,"['British Screen', 'Mayfair Entertainment International']"
11443,"['Caravan Pictures', 'Underworld Entertainment', 'Hollywood Pictures']"
35196,['Miramax Films']
9312,"['New Line Cinema', 'Threshold Entertainment']"
577,"['The Rank Organisation', 'Columbia Pictures Corporation']"
11861,"['Universal Pictures', 'Amblin Entertainment']"
807,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']"
10530,"['Walt Disney Pictures', 'Walt Disney Feature Animation']"
8391,['Alliance Communications Corporation']
629,"['Blue Parrot Productions', 'Bad Hat Harry Productions']"
117164,[]
11448,"['Miramax Films', 'Magnolia Pictures']"
49133,[]
26441,"['Walt Disney Pictures', 'Caravan Pictures']"
97406,"['Miramax Films', 'CiBy 2000']"
124057,"['Telefilm Canada', 'Melenny Productions']"
9089,"['Paramount Pictures', 'Egg Pictures', 'PolyGram Filmed Entertainment']"
11010,[]
99040,[]
11359,"['Paramount Pictures', 'Columbia Pictures Corporation', 'The Kennedy/Marshall Company']"
17182,['Paramount Pictures']
2054,"['Hollywood Pictures', 'The Charlie Mopic Company', 'PolyGram Filmed Entertainment']"
10607,"['Miramax Films', 'Island Pictures', 'Ivory Way Productions']"
19760,"['Warner Bros.', 'Morgan Creek Productions']"
9536,"['Metro-Goldwyn-Mayer (MGM)', 'Motion Picture Corporation of America (MPCA)', '3 Arts Entertainment']"
11525,['New Line Cinema']
40628,['Miramax Films']
4482,"['Renn Productions', 'Les Films Flam', 'TF1 Films Production']"
10634,['New Line Cinema']
755,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions']"
11859,"['Silver Pictures', 'Warner Bros.']"
28387,"['Castleberg Productions', 'Sandollar Productions']"
48750,"['Les Films 13', 'Canal+', 'TF1']"
20927,"['New Line Cinema', 'Juno Pix']"
36929,"['Warner Bros.', 'Morgan Creek Productions']"
9102,"['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.']"
124626,"['Zweites Deutsches Fernsehen (ZDF)', 'Ciak Filmproduktion', 'Bluehorse Films']"
27526,['Miramax Films']
9623,['Columbia Pictures Corporation']
46785,"['I.R.I.B. Channel 2', 'Ferdos Films']"
400,['Miramax Films']
880,"['Bergen Film', 'Bard Entertainments', 'NPS Televisie']"
146599,"['BET Pictures', 'United Image Entertainme']"
188588,[]
8447,"['Playhouse International Pictures', 'The Samuel Goldwyn Company']"
10534,"['Hollywood Pictures', 'Largo Entertainment', 'Scott Free Productions']"
17414,"['Twentieth Century Fox Film Corporation', 'Joe Wizan/Todd Black']"
13997,['Paramount Pictures']
2086,['Paramount Pictures']
61548,"['Miramax Films', 'Addis Wechsler Pictures']"
9095,"['TriStar Pictures', 'NFH Productions']"
12158,['Paramount Pictures']
9283,"['Miramax Films', 'Woods Entertainment']"
9208,"['Twentieth Century Fox Film Corporation', 'WCG Entertainment Productions', 'Mark Gordon Productions']"
40154,"['Castle Rock Entertainment', 'Midwinter Films']"
406,"['Egg Pictures', 'PolyGram Filmed Entertainment', 'Canal+']"
45549,['Channel Four Films']
63076,"['British Broadcasting Corporation (BBC)', 'Westdeutscher Rundfunk (WDR)', 'Canadian Broadcasting Corporation (CBC)']"
11062,"['Columbia Pictures', 'Castle Rock Entertainment']"
13685,"['Gracie Films', 'Columbia Pictures Corporation']"
47475,['Touchstone Pictures']
2045,"['Metro-Goldwyn-Mayer (MGM)', 'Dino De Laurentiis Company', 'Spelling Films']"
9614,"['Universal Pictures', 'Brillstein-Grey Entertainment', 'Robert Simonds Productions']"
688,"['Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']"
11907,[]
10874,"['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']"
89333,[]
96357,[]
197,"['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']"
103,"['Columbia Pictures Corporation', 'Italo/Judeo Productions', 'Bill/Phillips']"
33542,"['New Line Cinema', 'Golden Harvest Company']"
43566,"['Caravan Pictures', 'Hollywood Pictures']"
71754,"['Téléfilm Canada', 'Skyline Films', 'Malofilm']"
43612,"['France 2 Cinéma', 'France 3 Cinéma', 'StudioCanal']"
51352,[]
16934,['Bavaria Film and Television Fund']
10324,"['TriStar Pictures', 'Motion Picture Corporation of America (MPCA)']"
78406,['Savoy Pictures']
55731,['TriStar Pictures']
32119,[]
11066,['Paramount Pictures']
11104,"['Jet Tone Production', 'The Criterion Collection']"
37975,['Cecchi Gori Group Tiger Cinematografica']
2074,['Miramax Films']
27793,"['Studio Babelsberg', 'Dieter Geissler Filmproduktion', 'Cinevox Filmproduktion GmbH']"
44284,"['Canal Horizons', 'Mat Films', 'Cinétéléfilms']"
290157,[]
110972,[]
32622,[]
73067,"['Fine Line Features', 'Channel Four Films', 'Bórd Scannán na hÉireann']"
11863,['Paramount Pictures']
55475,"['Cigua Films', ""D'Pelicula""]"
124636,[]
9101,['Twentieth Century Fox Film Corporation']
123360,['Couch Potatoe Productions']
5757,[]
39428,"['Channel Four Films', 'Academy', 'Mayfair Films']"
124639,[]
9302,"['Cinergi Pictures Entertainment', 'Touchstone Pictures']"
11000,['United Artists']
249882,[]
