adult,id,imdb_id,original_language,popularity,release_date,runtime,title,video,vote_average,vote_count
False,862,tt0114709,en,21.946943,1995-10-30,81.0,Toy Story,False,7.7,5415.0
False,8844,tt0113497,en,17.015539,1995-12-15,104.0,Jumanji,False,6.9,2413.0
False,15602,tt0113228,en,11.7129,1995-12-22,101.0,Grumpier Old Men,False,6.5,92.0
False,31357,tt0114885,en,3.859495,1995-12-22,127.0,Waiting to Exhale,False,6.1,34.0
False,11862,tt0113041,en,8.387519,1995-02-10,106.0,Father of the Bride Part II,False,5.7,173.0
False,949,tt0113277,en,17.924927,1995-12-15,170.0,Heat,False,7.7,1886.0
False,11860,tt0114319,en,6.677277,1995-12-15,127.0,Sabrina,False,6.2,141.0
False,45325,tt0112302,en,2.561161,1995-12-22,97.0,Tom and Huck,False,5.4,45.0
False,9091,tt0114576,en,5.23158,1995-12-22,106.0,Sudden Death,False,5.5,174.0
False,710,tt0113189,en,14.686036,1995-11-16,130.0,GoldenEye,False,6.6,1194.0
False,9087,tt0112346,en,6.318445,1995-11-17,106.0,The American President,False,6.5,199.0
False,12110,tt0112896,en,5.430331,1995-12-22,88.0,Dracula: Dead and Loving It,False,5.7,210.0
False,21032,tt0112453,en,12.140733,1995-12-22,78.0,Balto,False,7.1,423.0
False,10858,tt0113987,en,5.092,1995-12-22,192.0,Nixon,False,7.1,72.0
False,1408,tt0112760,en,7.284477,1995-12-22,119.0,Cutthroat Island,False,5.7,137.0
False,524,tt0112641,en,10.137389,1995-11-22,178.0,Casino,False,7.8,1343.0
False,4584,tt0114388,en,10.673167,1995-12-13,136.0,Sense and Sensibility,False,7.2,364.0
False,5,tt0113101,en,9.026586,1995-12-09,98.0,Four Rooms,False,6.5,539.0
False,9273,tt0112281,en,8.205448,1995-11-10,90.0,Ace Ventura: When Nature Calls,False,6.1,1128.0
False,11517,tt0113845,en,7.337906,1995-11-21,103.0,Money Train,False,5.4,224.0
False,8012,tt0113161,en,12.669608,1995-10-20,105.0,Get Shorty,False,6.4,305.0
False,1710,tt0112722,en,10.701801,1995-10-27,124.0,Copycat,False,6.5,199.0
False,9691,tt0112401,en,11.065939,1995-10-06,132.0,Assassins,False,6.0,394.0
False,12665,tt0114168,en,12.133094,1995-10-27,111.0,Powder,False,6.3,143.0
False,451,tt0113627,en,10.332025,1995-10-27,112.0,Leaving Las Vegas,False,7.1,365.0
False,16420,tt0114057,en,1.845899,1995-12-15,123.0,Othello,False,7.0,33.0
False,9263,tt0114011,en,8.681325,1995-10-20,100.0,Now and Then,False,6.6,91.0
False,17015,tt0114117,en,2.228434,1995-09-27,104.0,Persuasion,False,7.4,36.0
False,902,tt0112682,fr,9.822423,1995-05-16,108.0,The City of Lost Children,False,7.6,308.0
False,37557,tt0115012,zh,1.100915,1995-04-30,108.0,Shanghai Triad,False,6.5,17.0
False,9909,tt0112792,en,9.481338,1995-08-11,99.0,Dangerous Minds,False,6.4,249.0
False,63,tt0114746,en,12.297305,1995-12-29,129.0,Twelve Monkeys,False,7.4,2470.0
False,78802,tt0114952,fr,0.745542,1996-09-18,50.0,Wings of Courage,False,6.8,4.0
False,9598,tt0112431,en,14.404764,1995-07-18,89.0,Babe,False,6.0,756.0
False,47018,tt0112637,en,1.493361,1995-11-08,121.0,Carrington,False,6.4,16.0
False,687,tt0112818,en,6.891317,1995-12-29,122.0,Dead Man Walking,False,7.3,350.0
False,139405,tt0112286,en,0.114469,1995-10-20,51.0,Across the Sea of Time,False,3.5,2.0
False,33689,tt0113442,en,7.777735,1995-11-17,101.0,It Takes Two,False,6.1,149.0
False,9603,tt0112697,en,9.882383,1995-07-19,97.0,Clueless,False,6.9,828.0
False,34615,tt0112749,en,0.894647,1995-12-15,106.0,"Cry, the Beloved Country",False,6.7,13.0
False,31174,tt0114279,en,4.561387,1995-12-29,104.0,Richard III,False,6.9,50.0
False,11443,tt0112819,en,9.87957,1995-10-06,119.0,Dead Presidents,False,6.6,80.0
False,35196,tt0114272,en,10.979269,1995-12-29,117.0,Restoration,False,6.3,30.0
False,9312,tt0113855,en,10.870138,1995-08-18,101.0,Mortal Kombat,False,5.4,452.0
False,577,tt0114681,en,10.448481,1995-05-20,106.0,To Die For,False,6.7,177.0
False,11861,tt0113347,en,4.485958,1995-10-06,116.0,How To Make An American Quilt,False,6.5,38.0
False,807,tt0114369,en,18.45743,1995-09-22,127.0,Se7en,False,8.1,5915.0
False,10530,tt0114148,en,13.280069,1995-06-14,81.0,Pocahontas,False,6.7,1509.0
False,8391,tt0114916,en,3.302524,1995-05-05,96.0,When Night Is Falling,False,5.9,10.0
False,629,tt0114814,en,16.302466,1995-07-19,106.0,The Usual Suspects,False,8.1,3334.0
False,117164,tt0109950,en,0.595949,1994-11-22,93.0,Guardian Angel,False,6.3,3.0
False,11448,tt0113819,en,15.899134,1995-09-13,95.0,Mighty Aphrodite,False,6.7,145.0
False,49133,tt0110299,it,1.361286,1994-01-01,116.0,Lamerica,False,7.7,11.0
